N,Годы,Название,Историческая справка,Страна
829,(AD 1465–1847),КАЗАХСКОЕ ХАНСТВО,"КАЗАХСКОЕ ХАНСТВО (AD 1465–1847) Государство, феодальное, монархическое. Зародилось на терр. совр. Казахстанa в результате отделения от Могулистана. Вошло в сотав Российской империи. Столицы — Чинги-Тура, Орда-Базар (1465–1469,1511–1521), Сыгнак (1469–1511,1521–1599), Туркестан (1599–1847)",Казахстан Киргизстан Узбекистан
833,(AD 1991–),КАЗАХСТАН,"КАЗАХСТАН (AD 1991–) Государство, республика (Республика Казахстан). Зародилось на терр. совр. Казахстана в результате распада СССР. Столицы — Алма-Ата (до 1997), Астана (с 1997)",Казахстан
967,(AD 1083–1323),КАКАТИЯ,"КАКАТИЯ (AD 1083–1323) Государство, феодальное, монархическое. Зародилось на терр. совр. Индии в результате отделения от Восточных и Западных Чалукья. Столица — Оругаллу. Прекратило существование",Индия
937,(2600–1700 BC),КАЛИБАНГАН,"КАЛИБАНГАН (2600–1700 BC) Город-государство Индской цивилизации, рабовладельческий, монархический. Зародился на терр. совр.Индии . Разрушен племенами ариев.",Индия
944,"(700–260 BC},{220 BC–AD 600)",КАЛИНГА,"КАЛИНГА (700–260 BC},{220 BC–AD 600) Государство, рабовладельческое, монархическое. (Зародилось на терр. совр.Индии. Завоевано Завоевано Империей Маурьев},{Отделилось от Империи Маурьев. Пришло в упадок)",Индия
956,(AD 350–1140),КАМАРУПА,"КАМАРУПА (AD 350–1140) Государство, рабовладельческое, монархическое. Зародилось на терр. совр. Индии. Прекратило существование",Индия
999,(AD 1867–),КАНАДА,"КАНАДА (AD 1867–) Государство, капиталистическое. Образовано на терр. совр. Канады в результате принятия Конституционного акта и провозглашения статуса доминиона в Канаде (брит.). Столица — Оттава",Канада
1006,(AD 1841–1867),КАНАДА (брит.),"КАНАДА (брит.) (AD 1841–1867) Колония Великобритании (в составе Британской Северной Америки). Образована на терр. совр. Канады в результате объединения Верхней Канады и Нижней Канады. Преобразована в доминион Канада. Столицы — Кингстон (1841–1843), Монреаль (1843–1849), Торонто (1849–1852, 1859–1866), Квебек (1852–1856, 1859–1866), Оттава (1866−1867)",Канада
36,(250 BC – AD 17),КАППАДОКИЯ,"КАППАДОКИЯ (250 BC – AD 17) Государство, эллинистическое рабовладельческое, монархическое. Образовано на терр. совр.Турции. Отделилось от Государства Селевкидов. Столица — Мазака. Вошло в состав Римской Империи.",Турция
310,(600–327 BC),КАПУЯ,"КАПУЯ (600–327 BC) Город-государство, рабовладельческий, монархический. Основан этрусками на терр. совр.Италии . Завоеван Римской Республикой. В 74 BC в городе Капуя Спартак организовал заговор гладиаторов.",Италия
781,(AD 1375–1468),КАРАБАХСКОЕ ХАНСТВО,"КАРАБАХСКОЕ ХАНСТВО (AD 1747–1805) Государство, феодальное, монархическое. Зародилось на терр. совр.Азербайджана в результате отделения от Персидской державы Надир-шаха. Вошло в состав Российской империи. Столицы — Баят (1747—1751), Шахбулаг (1751), Шуша (с 1751).",Азербайджан Армения
97,(AD 1375–1468),ГОСУДАРСТВО КАРА-КОЮНЛУ,"ГОСУДАРСТВО КАРА-КОЮНЛУ (AD 1375–1468) Государство, феодальное. Образовано на терр. совр.Ирана в результате объединения кочевых туркменских племен на территории совр. Ирана. Столица — Тебриз. Завоевано Государством Ак-Коюнлу",Ирак Иран Сирия Турция
825,(AD 1124–1218),КАРАКИТАЙСКОЕ ХАНСТВО,"КАРАКИТАЙСКОЕ ХАНСТВО (AD 1124–1218) Государство, феодальное, монархическое. Зародилось на терр. совр. Китая в результате падения империи Ляо. Основано киданьским принцем Елюй Даши. Столица — Баласагун (с 1134). Завоевано Монгольской империей.",Казахстан Киргизстан Таджикистан Узбекистан
80,"(AD 1307–1390},{1403–1419},{1421–1483)",КАРАМАН,"КАРАМАН (AD 1307–1390},{1403–1419},{1421–1483) Государство, феодальное. (Образовано на терр. совр.Турции в результате отделения от Конийского Султаната. Завоевано Османским Эмиратом},{Восстановлен Государством Тамерлана. Завоевано Государством Мамлюков},{Вышло из состава Государства Мамлюков. Завоевано Османской Империей).",Турция
371,(AD 658–788),КАРАНТАНИЯ,"КАРАНТАНИЯ (AD 658–788) Государство, феодальное, славянское (Княжество Карантания). Зародилось на терр. совр. Австрии в результате распада Княжества Само. Столица Крнски град. Завоевано Франкским Государством",Австрия Словения Хорватия
818,(AD 840–1040),"КАРАХАНИДСКОЕ ГОСУДАРСТВО

Kara-Khanid Khanate","КАРАХАНИДСКОЕ ГОСУДАРСТВО (AD 840–1040) Государство, феодальное, монархическое. Зародилось на терр. совр. Киргизии в результате распада Уйгурского каганата, образовано тюркскими племенами ягма и чигили. Столицы — Баласагун, Кашгар. Распалось на Западно-Караханидское ханство и Восточно-Караханидское ханство.",Казахстан Киргизстан Таджикистан Узбекистан
814,(AD 756–940),КАРЛУКСКИЙ КАГАНАТ,"КАРЛУКСКИЙ КАГАНАТ (AD 756–940) Государство, рабовладельческое, монархическое. Зародилось на терр. совр. Киргизии в результате захвата власти племенами карлуков в Тюргешском каганате. Столицы — Суяб, Баласагун. Вошло в состав Караханидского государства",Казахстан Киргизстан Таджикистан Узбекистан
820,(AD 960–1222),"КАРЛУКСКОЕ ХАНСТВО

Ghaznavid Empire","КАРЛУКСКОЕ ХАНСТВО (AD 960–1222) Государство, феодальное, монархическое. Образовано на терр. совр. Казахстана в результате отделения от. Караханидского государства. Вассал Караханидского государства (до 1130), Каракитайского ханства (1130–1200). Столицы — Койлык (960–1222), Алмалык (1200–1222). Завоевано Монгольской империей.",Казахстан
62,(AD 963–1064),КАРССКОЕ ЦАРСТВО,"КАРССКОЕ ЦАРСТВО (AD 963–1064) Государство, армянское феодальное, монархическое. Возникло на терр. совр.Турции . Выделилось из Анийского Царства. Столица — Карс. Завоевано Византийской Империей.",Турция
753,(AD 1466–1555),КАРТЛИЙСКОЕ ЦАРСТВО),"КАРТЛИЙСКОЕ ЦАРСТВО (AD 1466–1555) Государство, грузинское феодальное, монархическое. Возникло на терр. совр.Грузии в результате распада Грузинского царства. Столица — Тбилиси. Попало в вассальную зависимость от Персидского государства Сефевидов",Грузия
765,"(AD 1590–1612},{AD 1724–1735)",КАРТЛИЙСКОЕ ЦАРСТВО (осм.),"КАРТЛИЙСКОЕ ЦАРСТВО (осм.) (AD 1590–1612},{AD 1724–1735) Государство, грузинское феодальное, монархическое, вассал Османской империи. (Возникло на терр. совр. Грузии в результате попадания Картлийского царства в вассальную зависимость от Персидского государства Сефевидов. Перешло в вассальную зависимость от Османской империи},{Перешло в вассальную зависимость от Персидского государства Сефевидов. Перешло в вассальную зависимость от Османской империи},{Перешло в вассальную зависимость от Персидского государства Сефевидов. Объединилось с Кахетинским царством (перс.), образовав Картли-Кахетинское царство). Столица — Тбилиси.",Армения Грузия
760,"(AD 1555–1590},{AD 1612–1724},{1735–1762)",КАРТЛИЙСКОЕ ЦАРСТВО (перс.),"КАРТЛИЙСКОЕ ЦАРСТВО (перс.) (AD 1555–1590},{AD 1612–1724},{1735–1762) Государство, грузинское феодальное, монархическое, вассал Персидского государства Сефевидов. (Возникло на терр. совр.Грузии в результате попадания Картлийского царства в вассальную зависимость от Персидского государства Сефевидов. Перешло в вассальную зависимость от Османской империи},{Перешло в вассальную зависимость от Персидского государства Сефевидов. Перешло в вассальную зависимость от Османской империи},{Перешло в вассальную зависимость от Персидского государства Сефевидов. Объединилось с Кахетинским царством (перс.), образовав Картли-Кахетинское царство). Столица — Тбилиси.",Армения Грузия
769,(AD 1762–1783),КАРТЛИ-КАХЕТИНСКОЕ ЦАРСТВО (перс.),"КАРТЛИ-КАХЕТИНСКОЕ ЦАРСТВО (перс.) (AD 1762–1783) Государство, феодальное, монархическое. Вассал Персии. Возникло на терр. совр.Грузии в результате объединения Картлийского царства (перс.) и Кахетинского царства (перс.). Столицы — Телави, Тбилиси. Перешло под протекторат Российской империи",Азербайджан Армения Грузия
770,(AD 1783–1801),КАРТЛИ-КАХЕТИНСКОЕ ЦАРСТВО (росс.),"КАРТЛИ-КАХЕТИНСКОЕ ЦАРСТВО (росс.) (AD 1783–1801) Государство, феодальное, монархическое. Протекторат Российской империи. Возникло на терр. совр. Грузии в результате перехода Картли-Кахетинского царства (перс.) под протекторат Российской империи после заключения Георгиевского трактата. Столицы — Телави, Тбилиси. Присоединено к Российской империи",Армения Азербайджан Грузия
167,(825–146 BC),КАРФАГЕН,"КАРФАГЕН (825–146 BC) Государство, рабовладельческое. Зародилось на терр. совр.ТунисаУничтожено Римской Республикой в 3 Пуническую войну. Наиболее выдающийся полководец Ганнибал (кон.247–183 BC)",Алжир Гибралтар Ливия Испания Италия Мальта Марокко Португалия Тунис Франция
748,"(AD 637–1106},{1466–1555)",КАХЕТИНСКОЕ ЦАРСТВО,"КАХЕТИНСКОЕ ЦАРСТВО (AD 637–1106},{1466–1555) Государство, феодальное, монархическое. (Зародилось на терр. совр. Грузии в результате отделения от Персидской империи Сасанидов. Присоединено к Грузинскому царству}, {Восстановило независимость в результате распада Грузинского царства. Попало в вассальную зависимость от Персидского государства Сефевидов). Столицы — Греми,Телави",Азербайджан Грузия
766,"(AD 1590–1612},{AD 1724–1735)",КАХЕТИНСКОЕ ЦАРСТВО (осм.),"КАХЕТИНСКОЕ ЦАРСТВО (осм.) (AD 1590–1612},{AD 1724–1735) Государство, грузинское феодальное, монархическое, вассал Османской империи. (Возникло на терр. совр. Грузии в результате попадания Кахетинского царства (перс.) в вассальную зависимость от Османской империи. Перешло в вассальную зависимость от Персидского государства Сефевидов},{Перешло в вассальную зависимость от Османской империи. Перешло в вассальную зависимость от Персидского государства Сефевидов). Столицы — Греми,Телави.",Азербайджан Грузия
761,"(AD 1555–1590},{AD 1612–1724},{1735–1762)",КАХЕТИНСКОЕ ЦАРСТВО (перс.),"КАХЕТИНСКОЕ ЦАРСТВО (перс.) (AD 1555–1590},{AD 1612–1724},{1735–1762) Государство, грузинское феодальное, монархическое, вассал Персидского государства Сефевидов. (Возникло на терр. совр. Грузии в результате попадания Кахетинского царства в вассальную зависимость от Персидского государства Сефевидов. Перешло в вассальную зависимость от Османской империи},{Перешло в вассальную зависимость от Персидского государства Сефевидов. Перешло в вассальную зависимость от Османской империи},{Перешло в вассальную зависимость от Персидского государства Сефевидов. Объединилось с Кахетинским царством (перс.), образовав Картли-Кахетинское царство). Столицы — Греми,Телави.",Азербайджан Грузия
246,"(AD 1035–1037},{1065–1072},{1157–1230)",КАСТИЛИЯ,"КАСТИЛИЯ (AD 1035–1037},{1065–1072},{1157–1230) Государство, феодальное, монархическое (Королевство Кастилия). (Зародилось на терр. совр.Испании в результате отделения от Королевства Леон. Объединилось с Леоном, образовав Королевство Кастилия и Леон},{Восстановлено в результате отделения от Леона.Объединилось с Леоном, образовав Королевство Кастилия и Леон},{Восстановлено в результате отделения от Леона.Объединилось с Леоном, образовав Королевство Кастилия и Леон). Столицы — Бургос, Толедо.",Испания Португалия
248,"(AD 1037–1065},{1072–1157},{1230–1516)",КАСТИЛИЯ И ЛЕОН,"КАСТИЛИЯ И ЛЕОН (AD 1037–1065},{1072–1157},{1230–1516) Государство, феодальное, монархическое (Королевство Кастилия и Леон). (Зародилось на терр. совр.Испании в результате объединения Кастилии и Леона. Распалось на Кастилию и Леон},{Восстановлено в результате объединения Кастилии и Леона. Распалось на Кастилию. и Леон},{Восстановлено в результате объединения Кастилии и Леона.Объединилось с Арагоном, образовав Испанию). Столицы — Бургос, Толедо.",Испания Португалия
579,(AD 1389–1444),КАСТРИОТИ,"КАСТРИОТИ (AD 1389–1444) Государство, феодальное, монархическое (Княжество Кастриоти). Зародилось на терр. совр.Албании в результате отделения от Зеты. Вошло в состав Лежской лиги. Столица — Круя",Албания
906,"(750–25 BC},{AD 100–160)","КАТАБАН

QATABAN","КАТАБАН (750–25 BC},{AD 100–160) Государство, рабовладельческое, монархическое. (Зародилось на терр. совр. Йемена в результате переселения племен сабеев из северо-западной Аравии. Завоевано Химьяром},{Отделилось от Химьяра. Завоевано Хадрамаутом). Столица — Тимна.

QATABAN (750–25 BC},{AD 100–160) State, slave, monarchical. (Arose in the territory of Yemen. Сonquered by Himyar}, {Separated from Himyar.Сonquered by Hadramaut). Capital — Timna",Йемен
300,(729–241 BC),КАТАНА,"КАТАНА (729–241 BC) Город-государство, рабовладельческий, монархический. Основан древними греками на терр. совр. Италии (о. Сицилия). Завоеван Римской Республикой. В настоящее время — город Катания",Италия
896,"(AD 1850–1868},{1971–)","КАТАР

QATAR","КАТАР (AD 1850–1868},{1971–) Государство, монархическое (с 1971 — Государство Катар). (Зародилось на терр. совр. Катара в результате отделения от Эмирата Неджд. Установление протектората Великобритании — Катар (брит.). В 1871–1914 — в составе Османской империи},{Провозглашение независимости от Великобритании). Столица — Доха

QATAR (AD 1850–1868},{1971–) State, monarchical (from 1971 — State of Qatar). (Arose in the territory of Qatar as a result of separation from the Emirate of Nejd. Establishing a British protectorate — Qatar (UK). In 1871–1914 — in the Ottoman Empire}, {Declaration of independence from Great Britain). Capital — Doha",Катар
897,"(AD 1868–1871},{1914–1971)",КАТАР (брит.),"КАТАР (брит.) (AD 1868–1871},{1914–1971) Государство, монархическое под протекторатом Великобритании. (Зардилось на терр. совр. Катара в результате установления протектората Великобритании над Катаром. Оккупировано Османской империей},{Восстановлен протекторат Великобритании. 3 сентября 1971 г. провозглашено независимое Государство Катар). Столица — Доха

QATAR (UK) (AD 1868–1871},{1914–1971) State, monarchical under British protectorate. (Arose in the territory of Qatar as a result of the establishment of a British protectorate over Qatar. Occupied by the Ottoman Empire}, {Restored British protectorate. September 3, 1971 proclaimed the independent State of Qatar). Capital — Doha",Катар
895,(AD 1517–1538),КАТАР (порт.),"КАТАР (порт.) (AD 1517–1538) Владение Португалии. Зардилось на терр. совр. Катара в результате в результате его завоевания Португалией. Завоевано Османской империей

QATAR (Port.) (AD 1517–1538) Possession of Portugal. Arose in the territory of Qatar as a result of his conquest of Portugal. Conquered by the Ottoman Empire",Катар
679,(AD 1266–1475),КАФФА (генуэз.),"КАФФА (генуэз.) (AD 1266–1475) Город-государство, колония Генуэзской республики. Зародился на терр. совр.Украины
в результате отделения от Золотой орды. Завоеван Османской империей. Современный город Феодосия",Украина
1002,(AD 1763–1791),КВЕБЕК (брит.),КВЕБЕК (брит.) (AD 1763–1791) Колония Великобритании (с 1783 в составе Британской Северной Америки). Образована на терр. совр. Канады в результате передачи территории Новой Франции Великобритании. Разделена на Верхнюю Канаду и Нижнюю Канаду. Столица — Квебек,Канада
599,(AD 450–871),КЕНТ,"КЕНТ (AD 450–871) Государство, феодальное, монархическое (Королевство Кент). Основано ютами на терр. совр. Великобритании (в юго-восточной Англии). Столица — Кентербери. Присоединено к Уэссексу.",Великобритания
89,(AD 1307–1349),КЕРАСЫ,"КЕРАСЫ (AD 1307–1349) Государство, феодальное. Образовано на терр. совр.Турции в результате отделения от Византийской Империи. Завоевано Османским Эмиратом.",Турция
595,(AD 424–680),КЕРЕДИГИОН,"КЕРЕДИГИОН (AD 424–680) Государство, феодальное, монархическое (Королевство Кередигион). Зародилось на терр. совр.Великобритании (в Уэльсе) в результате раздела владений Кунеды между его сыновьями. Столица не определена. Переименовано в Сейсиллуг.",Великобритания
494,(650–342 BC),КЕРКИРА,"КЕРКИРА (650–342 BC) Город-государство, греческая колония. Зародился на терр. о. Керкира (совр. Греция). Завоеван Македонией (Древней)",Греция
489,(900–67 BC),КИДОНИЯ,КИДОНИЯ (900–67 BC) Город-государство. Зародился на терр. о. Крит (совр. Греция) после заселения острова дорийцами. Завоеван Римской Республикой,Греция
450,(AD 862–1240),КИЕВСКАЯ РУСЬ,"КИЕВСКАЯ РУСЬ (AD 862–1240) Государство, феодальное, славянское. Зародилось на терр. совр. Украины в результате объединения восточнославянских племен под властью князей династии Рюриковичей. Распалось на отдельные княжества","Белоруссия Венгрия Латвия Литва Молдавия Польша Россия, (ЦФО), (СЗФО), (ПФО), (ЮФО), Румыния Украина Эстония"
659,(AD 1240–1362),КИЕВСКОЕ КНЯЖЕСТВО (иго),"КИЕВСКОЕ КНЯЖЕСТВО (иго) (AD 1240–1362) Государство, феодальное, славянское. Вассал Золотой Орды. Зародилось на терр. совр.Украины в результате окончательного распада Киевской Руси (в составе Киевской Руси существовало с 1132) и попадания Киевского княжества под татаро-монгольское иго. Вошло в состав Великого княжества Литовского (в составе Великого княжества Литовского существовало до 1471). Столица — Киев",Белоруссия Украина
14,"(756–334 BC},{188–128 BC)",КИЗИК,"КИЗИК (756–334 BC},{188–128 BC) Город-государство. (Основан древними греками на терр. совр.Турции. Завоеван Македонией}. {Вышел из состава Государства Селевкидов. Вошел в состав Римской Республики).",Турция
67,(AD 1080–1375),КИЛИКИЙСКОЕ ЦАРСТВО,"КИЛИКИЙСКОЕ ЦАРСТВО (AD 1080–1375) Государство, армянское феодальное, монархическое. Образовано на терр. совр.Турции на южной границе Византийской Империей в период нашествия сельджуков. Столица — Сис. Завоевано Государством Мамлюков",Сирия Турция
813,(AD 750–1035),КИМАКСКИЙ КАГАНАТ,"КИМАКСКИЙ КАГАНАТ (AD 750–1035) Государство, рабовладельческое, монархическое. Зародилось на терр. совр. Казахстана в результате формирования государства у кочевых тюркских племен кимаков. Столицы — Хакан-Кимак, Имакия. После перехода власти к племенам ккыпчаков прекратил свое существование и преобразовался в Кыпчакское ханство.",Казахстан
151,(4000–3500 BC),КИНОПОЛЬ,"КИНОПОЛЬ (4000–3500 BC) Город-государство (ном), рабовладельческий, монархический. Создан древними египтянами на терр. совр.Египта. Вошел в состав Верхнего Египта.",Египет
533,(AD 1960–),КИПР,"КИПР (AD 1960–) Государство, капиталистическое (Республика Кипр). Образовано на терр. совр. Кипра в результате провозглашения независимости в британской колонии Кипр(брит.). Столица — Никосия.",Кипр
532,(AD 1878–1960),КИПР (брит.),КИПР (брит.) (AD 1878–1960) Владение Великобритании (коронная колония с 1925 г.). Образовано в результате отторжения Великобританией терр. совр. Кипра от Османской империи. Столица — Никосия. 16 августа 1960 г. провозглашена независимая Республика Кипр,Кипр
530,(AD 1185–1191),КИПР (ИМПЕРИЯ),"КИПР (ИМПЕРИЯ) (AD 1185–1191) Государство, феодальное, монархическое. Зародилось на терр. совр. Кипра. Образовалось в результате захвата власти на о. Кипр, входившим в состав Византийской империи, Исааком Комниным, провозгласившим себя императором. Столица — Никосия. Завоевано королем Англии Ричардом I Львиное Сердце во время 3-го Крестового похода",Кипр
531,(AD 1292–1489),КИПРСКОЕ КОРОЛЕВСТВО,"КИПРСКОЕ КОРОЛЕВСТВО (AD 1292–1489) Государство, феодальное, монархическое. Образовано крестоносцами на на терр. совр. Кипра в результате получения в дар острова королем Иерасалимского королевства Ги де Лузиньяном от короля Англии Ричарда I Львиное Сердце. Столица — Никосия. Вошло в состав Венецианской республики",Кипр
848,(AD 1991–),КИРГИЗИЯ,"КИРГИЗИЯ (AD 1991–) Государство, республика (Киргизская Республика). Зародилось на терр. совр. Киргизии в результате распада СССР. Столица — Бишкек",Киргизстан
166,(640–305 BC),КИРЕНА,"КИРЕНА (640–305 BC) Город-государство, рабовладельческое, монархический. Основан древними греками на терр. совр.Ливии . Завоеван Египтом Птолемеев.республики",Ливия
178,(AD 1943–1951),КИРЕНАИКА (брит.),КИРЕНАИКА (брит.) (AD 1943–1951) Территория под управлением Великобритании. Образована на терр. совр. Ливии в результате оккупации Великобританией части территории Ливии (ит.). Столица — Бенгази. Вошла в состав провозглашенного 24 декабря 1951 независимого государства Ливия,Ливия
174,(AD 1912–1934),КИРЕНАИКА (ит.),КИРЕНАИКА (ит.) (AD 1912–1934) Колония Италии. Образована в результате оккупации Италией части Османской Империи на терр. совр. Ливии . Столица — Бенгази. Вошла в состав колонии Ливия (ит.),Ливия
732,(AD 618–907),КИТАЙСКАЯ ИМПЕРИЯ ТАН,"КИТАЙСКАЯ ИМПЕРИЯ ТАН (AD 618–907) Государство, монархическое. Зародилось на терр. совр. Китая в результате смены династии в Китайской империи Суй. Распалось на 10 царств. Столицы — Сиань (618–904), Лоян (904–907)","Китай Россия , (СибФО)"
735,(AD 1636–1912),КИТАЙСКАЯ ИМПЕРИЯ ЦИН,"КИТАЙСКАЯ ИМПЕРИЯ ЦИН (AD 1636–1912) Государство, монархическое. Зародилось на терр. совр. Китая в результате отделения Северо-Восточного Китая (Маньчжурии) от в Китайской империи Мин. В результате революции была провозглашена Китайская Республика. Столицы — Мукден (1636–1644), Пекин (1644–1912)","Казахстан Киргизстан Китай Россия, (ДФО), (СибФО)"
738,(AD 1912–1949),КИТАЙСКАЯ РЕСПУБЛИКА,"КИТАЙСКАЯ РЕСПУБЛИКА (AD 1912–1949) Государство, республика. Зародилось на терр. совр. Китая в результате свержения монархического строя в Китайской империи Цин. После поражения в гражданской войне перебазировалась на о. Тайвань, на территории материкового Китая (в 1949 г.( была провозглашена Китайская Народная Республика. Столица — Пекин","Китай Россия , (СибФО)"
520,(669–570 BC),КИТИОН,"КИТИОН (669–570 BC) Город-государство, греко-финикийский. Образовался на терр. совр. Кипра в результате провозглашения независимости от Ассирии. Завоеван Египтом (Древним)",Кипр
521,(669–570 BC),КИТРЫ,"КИТРЫ (669–570 BC) Город-государство, греческий. Образовался на терр. совр. Кипра в результате провозглашения независимости от Ассирии. Завоеван Египтом (Древним)",Кипр
650,(AD 1919–1923),КЛАЙПЕДСКИЙ КРАЙ,КЛАЙПЕДСКИЙ КРАЙ (AD 1919–1923) Территория под контролем Лиги наций. Создана в соответствии с Версальским мирным договором на терр. совр.Литвы после поражения Германии в 1-й мировой войне. Присоединена к Литве. Столица — Клайпеда,Литва
290,(1000–280 BC),КЛУЗИЙ,"КЛУЗИЙ (1000–280 BC) Город-государство, рабовладельческий, монархический. Основан этрусками на терр. совр.Италии . Входил ву Союз 12 городов-государств Этрурия. Завоеван Римской Республикой",Италия
486,(900–67 BC),КНОСС (дорийский),КНОСС (дорийский) (900–67 BC) Город-государство. Зародился на терр. о. Крит (совр. Греция) после заселения острова дорийцами. Завоеван Римской Республикой,Греция
476,(1900–1450 BC),КНОСС (минойский),КНОСС (минойский) (1900–1450 BC) Город-государство. Зародился во время минойской цивилизации на терр. о. Крит (совр. Греция). Разрушен ахейцами,Греция
576,(AD 1368–1444),КНЯЖЕСТВО АЛБАНИЯ,"КНЯЖЕСТВО АЛБАНИЯ (AD 1368–1444) Государство, феодальное, монархическое. Зародилось на терр. совр.Албании в результате отделения от Неаполитанского королевства. Вошло в состав Лежской лиги. Столица — Дуррес",Албания
548,"(AD 1330–1415},{1856–1859)",КНЯЖЕСТВО ВАЛАХИЯ,"КНЯЖЕСТВО ВАЛАХИЯ (AD 1330–1415},{1856–1859) Государство, феодальное, монархическое. (Зародилось на терр. совр.Румынии в результате отделения от Венгрии. Попало в вассальную зависимость от Османского эмирата},{Воссоздано как независимое княжество. Объединено с Княжеством Молдова в Объединенное княжество Валахии и Молдавии). Столицы — Кымпулунг, Куртя-де-Арджеш, Бухарест.",Молдавия Румыния Украина
323,(AD 862–1130),КНЯЖЕСТВО КАПУЯ,"КНЯЖЕСТВО КАПУЯ (AD 862–1130) Государство, феодальное, монархическое (Княжество Капуя). Зародилось на терр. совр.Италии в результате отделения от Княжества Салерно. Присоединено к Королевству Апулия и Сицилия. Столица — Капуя",Италия
549,"(AD 1359–1456},{1856–1859)",КНЯЖЕСТВО МОЛДОВА,"КНЯЖЕСТВО МОЛДОВА (AD 1359–1456},{1856–1859) Государство, феодальное, монархическое. (Зародилось на терр. совр.Румынии в результате отделения от Венгрии. Попало в вассальную зависимость от Османской империи},{Воссоздано как независимое княжество. Объединено с Княжеством Валахия в Объединенное княжество Валахии и Молдавии). Столицы — Сирет (1359–1385), Сучава (с 1385–1456), Яссы (с 1856)",Молдавия Румыния Украина
831,(AD 1709–1876),КОКАНДСКОЕ ХАНСТВО,"КОКАНДСКОЕ ХАНСТВО (AD 1709–1876) Государство, феодальное, монархическое. Зародилось на терр. совр.Узбекистана в результате отделения от Бухарского ханства. Присоединено к Российской империи. Столицы — Эски-Курган (1709–1732), Коканд (1732–1876)",Казахстан Киргизстан Таджикистан Узбекистан
731,(AD 682–745),КОК-ТЮРКСКИЙ КАГАНАТ,"КОК-ТЮРКСКИЙ КАГАНАТ (AD 682–745) Государство, рабовладельческое, монархическое. Зародилось на терр. совр. Монголии в результате восстановления независимости бывшего Восточно-Тюркского каганата и отделения его от Китайской мперии Тан. После захвата власти племенами уйгуров прекратил свое существование и преобразовался в Уйгурский каганат. Столица — Орда-Балык","Монголия Россия , (СибФО)"
741,(1200–720 BC),КОЛХИДА,"КОЛХИДА (1200–720 BC) Государство, рабовладельческое, монархическое, легендарное. Зародилось на терр. совр. Грузии . Известно по древнегреческой легенде об аргонавтах, плававших в Колхиду за золотым руном. Считается родиной амазонок. Уничтожено племенами киммерийцев и скифов",Грузия
743,(550–102 BC),КОЛХИДСКОЕ ЦАРСТВО,"КОЛХИДСКОЕ ЦАРСТВО (550–102 BC) Государство, рабовладельческое, монархическое. Зародилось на терр. совр. Грузии в результате объединения племен колхов. Завоевано Понтийским царством",Грузия
9,"(1000–800 BC},{162–83 BC},{65 BC – AD 72)",КОММАГЕНА,"КОММАГЕНА (1000–800 BC},{162–83 BC},{65 BC – AD 72) Государство, рабовладельческое. (Создано в 1000 BC на терр. совр. Турции. Завоевано Ассирией}. {Отделилось от Государства Селевкидов. Завоевано Великой Арменией}, {Вышло из состава Великой Армении. Вошло в состав Римской Империи). Столица — Самосат (с 162 BC)",Турция
65,(AD 1077–1307),КОНИЙСКИЙ СУЛТАНАТ,"КОНИЙСКИЙ СУЛТАНАТ (AD 1077–1307) Государство, феодальное. Образовано на терр. совр.Турции в результате отделения от Сельджукского Государства. Столица — Конья. Распался на мелкие княжества. Одно из них княжество Османа явилось ядром образовавшегося в нач. 14 в. Османского Государства",Турция
1011,(AD 1861–1865),КОНФЕДЕРАТИВНЫЕ ШТАТЫ АМЕРИКИ,"КОНФЕДЕРАТИВНЫЕ ШТАТЫ АМЕРИКИ (AD 1861–1865) Непризнанное государство. Зародилось на на терр. совр. США в результате выхода 13 южных рабовладельческих штатов из состава США. Вошло в состав США. Столицы — Монтгомери (1861), Ричмонд (1861–1865), Данвилл (1865)",США
214,(AD 929-1031),КОРДОВСКИЙ ХАЛИФАТ,"КОРДОВСКИЙ ХАЛИФАТ (AD 929-1031) Государство, феодальное теократическое арабо-мусульманское. Образовано на терр. совр. Испании в результате преобразования Кордовского Эмирата. Столица — Кордова. Распался на отдельные эмираты (тайфы).",Гибралтар Испания Марокко Португалия Тунис
216,"(AD 756-929},{1031–1070)",КОРДОВСКИЙ ЭМИРАТ,"КОРДОВСКИЙ ЭМИРАТ (AD 756-929},{1031–1070) Государство, феодальное теократическое арабо-мусульманское. (Образовано на терр. совр. Испании в результате отделения от Халифата Аббасидов. Преобразовано в Кордовский Халифат},{Воссоздано в результате распада Кордовского Халифата. Завоевано Севильским Эмиратом). Столица — Кордова.",Андорра Гибралтар Италия Испания Португалия Франция Гибралтар Испания Марокко Португалия Тунис
